,latitude,longtitude,compass_direction,x,y,z
0,28.543893,-81.381796,359.27,837859.8019282924,-5528209.764101708,3041399.802131119
1,28.544009,-81.381796,2.77,837858.8792189279,-5528203.676053438,3041411.1222561225
2,28.544141,-81.381795,2.49,837857.9257203634,-5528196.73362343,3041424.003762514
3,28.544276,-81.381794,2.21,837856.9483536833,-5528189.633712959,3041437.1780137164
4,28.544411,-81.381794,1.93,837855.8744971175,-5528182.548395176,3041450.3522480344
5,28.544544,-81.381793,1.65,837854.9130298541,-5528175.553391726,3041463.3312919987
6,28.544676,-81.381792,1.37,837853.9595124118,-5528168.610842919,3041476.212732962
7,28.544779,-81.381792,1.09,837853.1401893413,-5528163.204941294,3041486.264149168
8,28.544877,-81.381798,0.8,837851.7817293586,-5528158.149185156,3041495.8276234227
9,28.544998,-81.381806,0.52,837850.0473421842,-5528151.915505958,3041507.635574258
10,28.545126,-81.381814,0.24,837848.2572703135,-5528145.314405677,3041520.126614922
11,28.545222,-81.38182,359.96,837846.9147148876,-5528140.363562104,3041529.494885459
12,28.545316,-81.381826,359.68,837845.5880675801,-5528135.517673749,3041538.667975419
13,28.545407,-81.381831,359.4,837844.3817673158,-5528130.814604057,3041547.5482993904
14,28.545499,-81.381837,359.12,837843.0710270149,-5528126.073657586,3041556.52620154
15,28.54559,-81.381841,358.84,837841.9612081619,-5528121.355936393,3041565.4065100816
16,28.545721,-81.381847,358.55,837840.3402285435,-5528114.568002136,3041578.190237477
17,28.545822,-81.381875,358.27,837836.8352489081,-5528109.676336116,3041588.0463828584
18,28.54596,-81.381914,357.99,837831.9746244393,-5528103.003501071,3041601.51318008
19,28.546071,-81.381917,357.71,837830.8021900486,-5528097.221349684,3041612.345156345
20,28.54617,-81.381919,357.43,837829.8216946747,-5528092.054397819,3041622.0060985186
21,28.546271,-81.381922,357.15,837828.728804107,-5528086.797078064,3041631.862201883
22,28.54637,-81.381924,356.87,837827.748304497,-5528081.630092714,3041641.5231257104
