43 86
4255 4256 2
4256 4257 2
4257 4258 2
4258 4259 2
4259 4260 2
4260 4261 2
4261 4260 4
4260 4259 4
4259 4258 4
4258 4257 4
4257 4256 4
4256 4255 4
4165 4166 2
4166 4167 2
4167 4168 2
4168 4169 2
4169 4170 2
4170 4171 2
4171 4170 4
4170 4169 4
4169 4168 4
4168 4167 4
4167 4166 4
4166 4165 4
3829 3828 3
3828 3827 3
3827 3826 3
3826 3825 3
3825 3824 3
3824 3823 3
3823 3822 3
3822 3821 3
3821 3820 3
3820 3819 3
3819 3818 3
3818 3817 3
3817 3818 1
3818 3819 1
3819 3820 1
3820 3821 1
3821 3822 1
3822 3823 1
3823 3824 1
3824 3825 1
3825 3826 1
3826 3827 1
3827 3828 1
3828 3829 1
3780 3779 3
3779 3778 3
3778 3777 3
3777 3776 3
3776 3775 3
3775 3774 3
3774 3773 3
3773 3772 3
3772 3771 3
3771 3770 3
3770 3769 3
3769 3770 1
3770 3771 1
3771 3772 1
3772 3773 1
3773 3774 1
3774 3775 1
3775 3776 1
3776 3777 1
3777 3778 1
3778 3779 1
3779 3780 1
3781 4255 2
4255 3781 4
3781 3780 3
3780 3781 1
3830 4261 4
4261 3830 2
3830 3829 3
3829 3830 1
3768 3769 1
3769 3768 3
3768 4165 2
4165 3768 4
3816 4171 4
4171 3816 2
3816 3817 1
3817 3816 3
